@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute jaw-1 numeric
@attribute outputs-1 numeric

@data
631,'2022/05/10 14:59:32:576',3,22.820976,?
632,'2022/05/10 14:59:32:601',3,22.772215,?
633,'2022/05/10 14:59:32:644',3,22.830282,?
634,'2022/05/10 14:59:32:665',3,22.790642,?
635,'2022/05/10 14:59:32:691',3,22.832453,?
636,'2022/05/10 14:59:32:740',3,22.753035,?
637,'2022/05/10 14:59:32:775',3,22.81712,?
638,'2022/05/10 14:59:32:810',3,22.779362,?
639,'2022/05/10 14:59:32:844',3,22.813774,?
640,'2022/05/10 14:59:32:880',3,22.7271,?
641,'2022/05/10 14:59:32:903',3,22.731321,?
642,'2022/05/10 14:59:32:946',3,22.657673,?
643,'2022/05/10 14:59:32:970',3,22.559429,?
644,'2022/05/10 14:59:33:011',3,22.561556,?
645,'2022/05/10 14:59:33:032',3,22.608564,?
646,'2022/05/10 14:59:33:079',3,22.897299,?
647,'2022/05/10 14:59:33:119',3,22.893909,?
648,'2022/05/10 14:59:33:144',3,22.813519,?
649,'2022/05/10 14:59:33:177',3,22.658524,?
650,'2022/05/10 14:59:33:210',3,22.640587,?
651,'2022/05/10 14:59:33:242',3,22.668539,?
652,'2022/05/10 14:59:33:276',3,22.680828,?
653,'2022/05/10 14:59:33:309',3,22.700182,?
654,'2022/05/10 14:59:33:344',3,22.760353,?
655,'2022/05/10 14:59:33:371',3,22.748751,?
656,'2022/05/10 14:59:33:410',3,22.692022,?
657,'2022/05/10 14:59:33:432',3,22.685005,?
658,'2022/05/10 14:59:33:477',3,22.656576,?
659,'2022/05/10 14:59:33:510',3,22.595291,?
660,'2022/05/10 14:59:33:543',3,22.622322,?
661,'2022/05/10 14:59:33:576',3,22.698231,?
662,'2022/05/10 14:59:33:611',3,22.525936,?
663,'2022/05/10 14:59:33:643',3,22.559082,?
664,'2022/05/10 14:59:33:677',3,22.432947,?
665,'2022/05/10 14:59:33:709',3,22.488964,?
666,'2022/05/10 14:59:33:744',3,22.447252,?
667,'2022/05/10 14:59:33:767',3,22.469856,?
668,'2022/05/10 14:59:33:809',3,22.467968,?
669,'2022/05/10 14:59:33:863',3,22.567739,?
670,'2022/05/10 14:59:33:885',3,22.555998,?
671,'2022/05/10 14:59:33:927',3,22.576965,?
672,'2022/05/10 14:59:33:950',3,22.439873,?
673,'2022/05/10 14:59:33:979',3,22.551525,?
674,'2022/05/10 14:59:34:009',3,22.505295,?
675,'2022/05/10 14:59:34:043',3,22.479589,?
676,'2022/05/10 14:59:34:076',3,22.48563,?
677,'2022/05/10 14:59:34:111',3,22.374098,?
678,'2022/05/10 14:59:34:132',3,22.254913,?
679,'2022/05/10 14:59:34:177',3,22.232218,?
680,'2022/05/10 14:59:34:229',3,22.044735,?
681,'2022/05/10 14:59:34:250',3,21.878593,?
682,'2022/05/10 14:59:34:276',3,21.926128,?
683,'2022/05/10 14:59:34:311',3,21.931646,?
684,'2022/05/10 14:59:34:344',3,22.012188,?
685,'2022/05/10 14:59:34:378',3,22.024584,?
686,'2022/05/10 14:59:34:412',3,21.99143,?
687,'2022/05/10 14:59:34:444',3,22.054077,?
688,'2022/05/10 14:59:34:479',3,21.938234,?
689,'2022/05/10 14:59:34:500',3,22.106554,?
690,'2022/05/10 14:59:34:543',3,22.004147,?
691,'2022/05/10 14:59:34:595',3,21.875914,?
692,'2022/05/10 14:59:34:618',3,21.850761,?
693,'2022/05/10 14:59:34:662',3,21.887774,?
694,'2022/05/10 14:59:34:685',3,22.113792,?
695,'2022/05/10 14:59:34:712',3,22.085947,?
696,'2022/05/10 14:59:34:743',3,22.289146,?
697,'2022/05/10 14:59:34:777',3,22.31756,?
698,'2022/05/10 14:59:34:810',3,22.417288,?
699,'2022/05/10 14:59:34:844',3,22.407969,?
